phone_names,ratings,reviews,price,offer,ram,rom,screen_size,expandable,rear_camera,front_camera,battery,processor
POCO C55 Forest Green,"87,684","5,221","₹13,999","₹7,799",6 GB RAM ,128 GB ROM,17.04 cm (6.71 inch) HD+ Display,yes,50MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor
SAMSUNG Galaxy F13 Waterfall Blue,"1,85,078","10,574","₹16,999","₹9,199",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 5MP + 2MP , 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor
Nokia 105 Single SIM,"80,428","5,233","₹1,599","₹1,299",32 MB RAM ,32 MB ROM,4.5 cm (1.77 inch) Display,,0MP , 0MP Front Camera,1000 mAh Battery,SC6531E Processor
Nokia 105 Single SIM,"80,428","5,233","₹1,599","₹1,299",32 MB RAM ,32 MB ROM,4.5 cm (1.77 inch) Display,,0MP , 0MP Front Camera,1000 mAh Battery,SC6531E Processor
Nokia 105 Single SIM,"80,428","5,233","₹1,599","₹1,299",32 MB RAM ,32 MB ROM,4.5 cm (1.77 inch) Display,,0MP , 0MP Front Camera,1000 mAh Battery,SC6531E Processor
APPLE iPhone 14 Blue,"2,35,894","9,062","₹69,900","₹60,999",128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP , 12MP Front Camera,,
POCO C55 Forest Green,"77,968","4,765","₹11,999","₹6,799",4 GB RAM ,64 GB ROM,17.04 cm (6.71 inch) HD+ Display,yes,50MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor
vivo T2 Pro 5G New Moon Black,"36,681","3,431","₹27,999","₹24,999",8 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,,64MP + 2MP , 16MP Front Camera,4600 mAh Battery,Dimensity 7200 Processor
vivo T2 Pro 5G Dune Gold,"36,681","3,431","₹26,999","₹23,999",8 GB RAM ,128 GB ROM,17.22 cm (6.78 inch) ,,64MP + 2MP , 16MP Front Camera,4600 mAh Battery,Dimensity 7200 Processor
POCO C51 Royal Blue,"1,33,361","7,456","₹9,999","₹6,249",4 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) HD+ Display,yes,8MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Helio G36 Processor
MOTOROLA g84 5G Marshmallow Blue,"19,989","2,121","₹22,999","₹18,999",12 GB RAM ,256 GB ROM,16.64 cm (6.55 inch) ,,50MP (OIS) + 8MP , 16MP Front Camera,5000 mAh Battery,Snapdragon 695 Processor
POCO C55 Cool Blue,"77,968","4,765","₹11,999","₹6,799",4 GB RAM ,64 GB ROM,17.04 cm (6.71 inch) HD+ Display,yes,50MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor
MOTOROLA g14 Sky Blue,"23,123","2,126","₹12,999","₹8,499",4 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,yes,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,T616 Processor
MOTOROLA Edge 40 Neo Black Beauty,"18,673","2,874","₹29,999","₹24,999",12 GB RAM ,256 GB ROM,16.64 cm (6.55 inch) ,,50MP + 13MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor
vivo T2 Pro 5G Dune Gold,"36,681","3,431","₹27,999","₹24,999",8 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,,64MP + 2MP , 16MP Front Camera,4600 mAh Battery,Dimensity 7200 Processor
MOTOROLA Edge 40 Nebula Green,"57,035","6,681","₹34,999","₹26,999",8 GB RAM ,256 GB ROM,16.51 cm (6.5 inch) ,,50MP + 13MP , 32MP Front Camera,4400 mAh Battery,Dimensity 8020 Processor
MOTOROLA g14 Pale Lilac,"23,123","2,126","₹12,999","₹8,499",4 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,yes,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,T616 Processor
vivo T2 Pro 5G New Moon Black,"36,681","3,431","₹26,999","₹23,999",8 GB RAM ,128 GB ROM,17.22 cm (6.78 inch) ,,64MP + 2MP , 16MP Front Camera,4600 mAh Battery,Dimensity 7200 Processor
