company_names,ratings,area,employees,public_private,reviews,jobs
Aditya Birla Fashion and Retail,4.2,Retail , 10k-50k Employees , Fortune India 500 ,2.9k,72
Muthoot Fincorp,4.0,NBFC , 10k-50k Employees , Conglomerate ,2.9k,28
Viatris,4.3,Pharma , 10k-50k Employees , Forbes Global 2000 ,2.9k,8
Piramal Capital Housing Finance,4.2,NBFC , 1k-5k Employees , 3 years old ,2.9k,22
Samvardhana Motherson Group,3.8,Auto Components , 1k-5k Employees , Public ,2.9k,44
Tata Communications,4.1,Telecom , 5k-10k Employees , Public ,2.8k,444
Royal Enfield,4.2,Automobile , 10k-50k Employees , 122 years old ,2.8k,13
Godrej & Boyce Manufacturing,3.9,Engineering & Construction , 10k-50k Employees , Fortune India 500 ,2.8k,43
L&T Finance,4.0,NBFC , 10k-50k Employees , Public ,2.8k,1
LG Electronics,4.0,Consumer Electronics & Appliances , 10k-50k Employees , Public ,2.8k,6
John Deere,4.3,IT Services & Consulting , 5k-10k Employees , Fortune India 500 ,2.8k,12
Intas Pharmaceuticals,4.1,Pharma , 10k-50k Employees , Fortune India 500 ,2.8k,59
Whitehat jr,3.5,EdTech , 5k-10k Employees , Startup ,2.7k,514
Varun Beverages,4.0,Beverage , 5k-10k Employees , Public ,2.7k,43
Thermax Limited,4.2,Industrial Machinery , 1k-5k Employees , Public ,2.7k,46
Hetero Drugs,3.8,Pharma , 1k-5k Employees , 30 years old ,2.7k,26
Deutsche Bank,4.1,Banking , 10k-50k Employees , Fortune India 500 ,2.7k,619
Randstad,3.9,1k-5k Employees , Conglomerate , 31 years old ,2.7k,2.3k
Ford Motor,4.4,Automobile , 5k-10k Employees , Public ,2.7k,51
Havells,4.1,Electrical Equipment , 5k-10k Employees , Public ,2.6k,61
Abbott Healthcare,4.1,Pharma , 10k-50k Employees , Public ,2.6k,65
Sodexo,4.1,Facility Management Services , 10k-50k Employees , Forbes Global 2000 ,2.6k,85
Subros,3.9,Auto Components , 1k-5k Employees , Public ,2.6k,4
Persistent Systems,3.8,IT Services & Consulting , 10k-50k Employees , Public ,2.6k,75
Macleods Pharmaceuticals,3.8,Pharma , 10k-50k Employees , Public ,2.6k,--
CARS24,3.6,Internet , 5k-10k Employees , Indian Unicorn ,2.6k,305
VE Commercial Vehicles,4.0,Automobile , 1k-5k Employees , 15 years old ,2.6k,11
Automatic Data Processing (ADP),4.1,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 ,2.6k,36
American Express,4.3,Financial Services , 10k-50k Employees , Forbes Global 2000 ,2.6k,108
UnitedHealth,4.1,Healthcare , 10k-50k Employees , Forbes Global 2000 ,2.6k,10
Standard Chartered Bank,3.9,Banking , 10k-50k Employees , Fortune India 500 ,2.5k,30
Cgi Group,4.1,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 ,2.5k,140
Team Lease,3.9,Recruitment , 1k-5k Employees , Public ,2.5k,267
Pidilite Industries,4.4,Chemicals , 5k-10k Employees , Public ,2.5k,35
Atos,3.8,IT Services & Consulting , 201-500 Employees , Forbes Global 2000 ,2.5k,6
Bharat Electronics,4.1,Electronics Manufacturing , 5k-10k Employees , Fortune India 500 ,2.5k,--
Publicis Sapient,3.6,IT Services & Consulting , 10k-50k Employees , 33 years old ,2.5k,188
Alkem Laboratories,3.9,Pharma , 10k-50k Employees , Public ,2.5k,23
Hindalco Industries,4.2,Metals & Mining , 10k-50k Employees , Public ,2.5k,9
Indian Air Force,4.6,Defence & Aerospace , 1 Lakh+ Employees , 91 years old ,2.5k,--
Alembic Pharmaceuticals,4.0,Pharma , 10k-50k Employees , Public ,2.4k,36
R1 RCM,3.9,BPO , 5k-10k Employees , 20 years old ,2.4k,48
DCB Bank,3.9,Banking , 5k-10k Employees , Fortune India 500 ,2.4k,42
Hindustan Coca Cola Beverages,4.3,Beverage , 5k-10k Employees , 26 years old ,2.4k,63
Wipro Infotech,4.1,IT Services & Consulting , 1 Lakh+ Employees (Global) , MNC ,2.4k,--
Access Healthcare,3.9,IT Services & Consulting , 5k-10k Employees , 12 years old ,2.4k,37
Vishal Mega Mart,3.8,Retail , 10k-50k Employees , 15 years old ,2.4k,10
ITC Infotech,3.5,IT Services & Consulting , 10k-50k Employees , 23 years old ,2.4k,93
Barclays,4.1,Banking , 10k-50k Employees , Forbes Global 2000 ,2.4k,43
